Raison Sociale;Type;Sous-type;Type de cuisine;Ligne adresse 1;Numéro;Complément numéro;Type de voie;Voie;Ligne adresse 3;Boite postale;Code postal;Ville;Bureau distributeur;Indicateur cédex;Cédex;Téléphone;Mail;Adresse Web;Longitude;Latitude
Du Côté des Olivades;cdt:Restaurant;;Traditionnelle;;;;Chemin;De Bourgeac;;;13520;Le Paradou;LE PARADOU;non;;04 90 54 56 78;ducotedesolivades@wanadoo.fr;http://www.ducotedesolivades.com;4.799026;43.724754
La Coursejade;cdt:Restaurant;;Non communiqué;;;;RD;85a - Route de Cacharel;;;13460;Saintes Maries de la Mer;LES SAINTES MARIES DE LA MER;non;;04 90 97 82 21;reservation@mas-de-calabrun.fr;http://www.mas-de-calabrun.fr;4.43522834;43.4935607
La Part des Anges;cdt:BarAVin;;Traditionnelle;;33;;Rue;Sainte;;;13001;Marseille;MARSEILLE;non;;04 91 33 55 70;marseille@lapartdesanges.com;http://www.lapartdesanges.com;5.3752;43.292493
Les Arômes;cdt:Restaurant;;Gastronomique;;8;;Rue;Moussard;;;13400;Aubagne;AUBAGNE;non;;04 42 03 72 93;francoisebesset@neuf.fr;;5.56877;43.292528
ROMANO;"cdt:Restaurant
cdt:Traiteur";;Gastronomique;;15;;Quai;Barthélémy;;;13260;Cassis;CASSIS;non;;04 42 01 08 16;restaurant.romano@wanadoo.fr;http://www.restaurant-romano.com;5.536104;43.21455
Le Bouchon à la Mer;cdt:Restaurant;;Gastronomique;;19;;Quai;Lucien Toulmond;;;13500;Martigues;MARTIGUES;non;;04 42 49 41 41;lebouchonalamer@wanadoo.fr;;5.052098;43.40566
Mas de Peint;cdt:Restaurant;;Gastronomique;Le Sambuc;;;;;;;13200;Arles;ARLES;non;;04 90 97 20 62;contact@masdepeint.com;http://www.masdepeint.com;4.70998;43.513027
Le Garage;cdt:Restaurant;;Gastronomique;;20;;Avenue;Frédéric Mistral;;;13500;Martigues;MARTIGUES;non;;04 42 44 09 51;contact@restaurantmartigues.com;http://www.restaurantmartigues.com;5.059719;43.40091
La Table du Fort;cdt:Restaurant;;Méditerranéenne ;;8;;Rue;Fort Notre-Dame;;;13007;Marseille;MARSEILLE;non;;04 91 33 97 65;latabledufort@hotmail.fr;http://www.latabledufort.fr;5.37126;43.292996
Le Pré Gourmand;cdt:Restaurant;;Gastronomique;;175;;Avenue;Max Dormoy;;;13630;Eyragues;EYRAGUES;non;;04 90 94 52 63;lepregourmand@orange.fr;http://www.restaurant-lepregourmand.com;4.846878;43.845896
Auberge de Noves;cdt:Restaurant;;Traditionnelle;Domaine du Devés;3500;;Route;De Chateaurenard;D 28;;13550;Noves;NOVES;non;;04 90 24 28 28;resa@aubergedenoves.com;http://www.aubergedenoves.com;4.880912;43.887207
Les Sarments;cdt:Restaurant;;"Provençale
Gastronomique";;4;;Rue;Qui-Monte;;;13114;Puyloubier;PUYLOUBIER;non;;04 42 66 31 58;jsgentil@yahoo.fr;http://lessarments.wordpress.com/;5.674588;43.525904
Bastide du Cours - Restaurant lounge;cdt:Restaurant;;"Provençale
Gastronomique";;43 45 47;;Cours;Mirabeau;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 26 10 06;info@bastideducours.com;http://www.bastideducours.com;5.449655;43.526858
Apéro Bistrot;cdt:Restaurant;;"Traditionnelle
Gastronomique";;31-33;;Rue;Félibre Gaut;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 65 06 29;aperobistrot@orange.fr;http://www.aperobistrot.fr;5.446871;43.528966
La Bastide de Cabriès;cdt:Restaurant;;Gastronomique;;;;Rue;Du Lac;Domaine du Lac Bleu;;13480;Cabriès;CABRIES;non;;04 42 69 07 81;info@bastidecabries.com;http://www.bastidecabries.com;5.333941;43.457436
Le Mas de Jossyl;cdt:Restaurant;;"Traditionnelle
Provençale";;;;Avenue;Du Parc;BP 37;;13640;La Roque d'Anthéron;LA ROQUE D'ANTHERON;non;;04 42 50 71 00;jossyl.mas@wanadoo.fr;http://www.masdejossyl.com;5.310516;43.719986
Ze Bistro;cdt:Restaurant;;"Gastronomique
Traditionnelle";;31;bis;Rue;Manuel;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 39 81 88;scolazebistro@gmail.com;http://www.zebistro.com;5.453652;43.528261
Le Croque Chou;cdt:Restaurant;;"Bio (cuisine sur la base de produits bio)
Gastronomique";;8;;Rue;Pellegrin;;;13670;Verquières;VERQUIERES;non;;04 90 95 18 55;folzfamily@le-croque-chou.fr;http://www.le-croque-chou.fr;4.916667;43.833333
A Côté Le Bistrot;cdt:Restaurant;;"Bio (cuisine sur la base de produits bio)
Provençale";;19;;Rue;Des Carmes;;;13200;Arles;ARLES;non;;04 90 47 61 13;contact@rabanel.com;http://www.bistro-acote.com;4.626989;43.676099
NINO;cdt:Restaurant;;Gastronomique;;1;;Quai;Barthélemy;;;13260;Cassis;CASSIS;non;;04 42 01 74 32;;http://www.nino-cassis.com;5.5364515;43.2147956
Le Bistrot d'Eygalières;cdt:Restaurant;;Actuelle;;;;Route;D'Orgon;;;13810;Eygalières;EYGALIERES;non;;04 90 90 60 34;sbru@club-internet.fr;http://www.chezbru.com;4.949371;43.76144
Ou Ravi Provençau;cdt:Restaurant;;"Provençale
Traditionnelle";;34;;Avenue;De la Vallée des Baux;;;13520;Maussane les Alpilles;MAUSSANE LES ALPILLES;non;;04 90 54 31 11;nrichard@ouravi.net;http://www.ouravi.net;4.803012;43.721574
Chez Xa;cdt:Restaurant;;"Poisson/fruits de mer
Traditionnelle
Méditerranéenne 
Provençale";;24;;Boulevard;Mirabeau;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 41 23;martineaxa@hotmail.fr;;4.833629;43.789524
La Petite France;cdt:Restaurant;;"Traditionnelle
Provençale";;55;;Avenue;La Vallée des Baux;;;13520;Le Paradou;LE PARADOU;non;;04 90 54 41 91;reservation@lapetitefrance.info;http://www.lapetitefrance.info;4.787773;43.720837
Le Relais du Coche;cdt:Restaurant;;Gastronomique;;;;Place;Monier;;;13430;Eyguières;EYGUIERES;non;;04 90 59 86 70;;;5.030253;43.693706
Le Bistrot du Paradou;cdt:Restaurant;;Provençale;;57;;Avenue;De la Vallée des Baux;;;13520;Le Paradou;LE PARADOU;non;;04 90 54 32 70;;;4.80469;43.721016
La Touloubre;cdt:Restaurant;;Gastronomique;;29;;Chemin;Salatier;;;13330;La Barben;LA BARBEN;non;;04 90 55 16 85;restaurant@latouloubre.com;http://www.latouloubre.com;5.175054;43.629754
La Place;cdt:Restaurant;;Gastronomique;;65;;Avenue;De la Vallée des Baux;;;13520;Maussane les Alpilles;MAUSSANE LES ALPILLES;non;;04 90 54 23 31;;http://www.maisonsdebaumaniere.com;4.80583;43.720623
La Maison Jaune-François Perraud;cdt:Restaurant;;Gastronomique;;15;;Rue;Carnot;;;13210;Saint Rémy de Provence;SAINT REMY DE PROVENCE;non;;04 90 92 56 14;lamaisonjaune@wanadoo.fr;http://www.lamaisonjaune.info;4.831304;43.78922
Plaza (La Paillotte);cdt:Restaurant;;"Traditionnelle
Provençale";;28;;Rue;Du Docteur Fanton;;;13200;Arles;ARLES;non;;04 90 96 33 15;bognier@free.fr;;4.626372;43.678339
Oustau de Baumanière;cdt:Restaurant;;"Gastronomique
Actuelle
Traditionnelle";;;;RD;27;Val d'Enfer;;13520;Les Baux de Provence;LES BAUX DE PROVENCE;non;;04 90 54 33 07;oustau@relaischateaux.com;http://www.oustaudebaumaniere.com;4.795339;43.746793
La Cabro d'Or;cdt:Restaurant;;"Gastronomique
Actuelle";;;;;;;;13520;Les Baux de Provence;LES BAUX DE PROVENCE;non;;04 90 54 33 21;cabro@relaischateaux.com;http://www.lacabrodor.com;4.788215;43.739802
Yoji;"cdt:Restaurant
cdt:LivraisonADomicilePlatAEmporter";Plats à emporter;"Japonaise
Coréenne
Gastronomique";;7;;Avenue;Victor Hugo;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 38 48 76;contact@yoji-restaurant.com;http://www.yoji.fr;5.44623;43.52539
Bistrot La Petite Cuisine;cdt:Restaurant;;Méditerranéenne ;;;;Avenue;Du Revestel;Anse du Corton;;13260;Cassis;CASSIS;non;;04 96 18 00 00;contact@lavillamadie.com;http://www.lavillamadie.com;5.545542;43.210806
La Villa Madie;cdt:Restaurant;;"Gastronomique
Actuelle";;;;Avenue;Du Revestel;Anse du Corton;;13260;Cassis;CASSIS;non;;04 96 18 00 00;contact@lavillamadie.com;http://www.lavillamadie.com;5.545478;43.210744
Brasserie Les Deux Garçons (Les 2 G);cdt:Restaurant;;"Traditionnelle
Gastronomique";;53;;Cours;Mirabeau;;;13100;Aix en Provence;AIX EN PROVENCE;non;;04 42 26 00 51;contact@les2garcons.fr;http://www.les2garcons.fr;5.450554;43.527096
Abbaye de Sainte Croix;cdt:Restaurant;;Gastronomique;;D 16;;Route;Du Val de Cuech;;;13300;Salon de Provence;SALON DE PROVENCE;non;;04 90 56 24 55;saintecroix@dgmail.fr;http://www.hotels-provence.com;5.123841;43.654059
